tank,well,strain
1,1,RUS21
1,2,RUS8
1,3,RUS1
1,4,RUS21
1,5,RUS8
1,6,RUS1
1,7,RUS5
1,8,RUS9
1,9,RUS7
1,10,RUS5
1,11,RUS9
1,12,RUS7
1,13,RUS23
1,14,RUS10
1,15,RUS12
1,16,RUS23
1,17,RUS10
1,18,RUS12
1,19,RUS18
1,20,RUS24
1,21,RUS6
1,22,RUS18
1,23,RUS24
1,24,RUS6
1,25,RUS13
1,26,RUS16
1,27,RUS19
1,28,RUS13
1,29,RUS16
1,30,RUS19
1,31,RUS20
1,32,RUS11
1,33,RUS3
1,34,RUS20
1,35,RUS11
1,36,RUS3
1,37,TRAM111
1,38,RUS22
1,39,RUS17
1,40,TRAM111
1,41,RUS22
1,42,RUS17
1,43,RUS2
1,44,BLD17
1,45,TOLKA4.1
1,46,RUS2
1,47,BLD17
1,48,TOLKA4.1
2,1,RUS18
2,2,RUS10
2,3,RUS6
2,4,RUS18
2,5,RUS10
2,6,RUS6
2,7,RUS13
2,8,RUS21
2,9,RUS19
2,10,RUS13
2,11,RUS21
2,12,RUS19
2,13,RUS16
2,14,RUS8
2,15,RUS1
2,16,RUS16
2,17,RUS8
2,18,RUS1
2,19,RUS5
2,20,RUS23
2,21,RUS24
2,22,RUS5
2,23,RUS23
2,24,RUS24
2,25,RUS9
2,26,RUS7
2,27,RUS12
2,28,RUS9
2,29,RUS7
2,30,RUS12
2,31,BLD17
2,32,RUS22
2,33,RUS20
2,34,BLD17
2,35,RUS22
2,36,RUS20
2,37,RUS2
2,38,TRAM111
2,39,TOLKA4.1
2,40,RUS2
2,41,TRAM111
2,42,TOLKA4.1
2,43,RUS17
2,44,RUS11
2,45,RUS3
2,46,RUS17
2,47,RUS11
2,48,RUS3
3,1,TOLKA4.1
3,2,BLD17
3,3,RUS2
3,4,TOLKA4.1
3,5,BLD17
3,6,RUS2
3,7,RUS17
3,8,RUS22
3,9,TRAM111
3,10,RUS17
3,11,RUS22
3,12,TRAM111
3,13,RUS3
3,14,RUS11
3,15,RUS20
3,16,RUS3
3,17,RUS11
3,18,RUS20
3,19,RUS19
3,20,RUS16
3,21,RUS13
3,22,RUS19
3,23,RUS16
3,24,RUS13
3,25,RUS6
3,26,RUS24
3,27,RUS18
3,28,RUS6
3,29,RUS24
3,30,RUS18
3,31,RUS12
3,32,RUS10
3,33,RUS23
3,34,RUS12
3,35,RUS10
3,36,RUS23
3,37,RUS7
3,38,RUS9
3,39,RUS5
3,40,RUS7
3,41,RUS9
3,42,RUS5
3,43,RUS1
3,44,RUS8
3,45,RUS21
3,46,RUS1
3,47,RUS8
3,48,RUS21
